Overview
;;Material Input;Settings;Process information;Material output;Measured quantities;Data processing;Derived quantities
Vapor Layer deposition;Sputter deposition;;;;;;;
Vapor Layer deposition;Thermal PVD/Evaporation;;;;;;;
Vapor Layer deposition;Pulsed laser deposition;;;;;;;
Vapor Layer deposition;Electron-beam-induced deposition;;;;;;;
Vapor Layer deposition;Molecular beam epitaxy;;;;;;;
Vapor Layer deposition;Metal organic chemical vapour deposition;;;;;;;
Vapor Layer deposition;Plasma assisted chemical vapour deposition;;;;;;;
Vapor Layer deposition;Atomic layer deposition;;;;;;;
Wet chemical deposition;Spin coating;;;;;;;
Wet chemical deposition;Slot die coating;;;;;;;
Wet chemical deposition;Drop casting;;;;;;;
Wet chemical deposition;Dip coating;;;;;;;
Wet chemical deposition;Doctor blading;;;;;;;
Wet chemical deposition;Aerosol printing;;;;;;;
Wet chemical deposition;Spray pyrolysis;;;;;;;
Wet chemical deposition;Spray coating;;;;;;;
Wet chemical deposition;Sol-gel deposition;;;;;;;
Wet chemical deposition;Dip coating;;;;;;;
Wet chemical deposition;Chemical bath deposition;;;;;;;
Wet chemical deposition;Chemical solution deposition;;;;;;;
Wet chemical deposition;Electrophoretic deposition;;;;;;;
Wet chemical deposition;Gravure printing;;;;;;;
Wet chemical deposition;Inkjet printing;;;;;;;
Wet chemical deposition;Offset printing;;;;;;;
Wet chemical deposition;Screen printing;;;;;;;
Material processing;Solvent cleaning;;;;;;;
Material processing;UV-Cleaning;;;;;;;
Material processing;Plasma cleaning;;;;;;;
Material processing;Anealing;;;;;;;
Material processing;Storing;;;;;;;
Material processing;Solution manufacturing;;;;;;;
Material processing;Gas quenching;;;;;;;
Material processing;Solvent quenching;;;;;;;
Solacell Characterisation;IV-Measurement;;;;;;;
Solacell Characterisation;EQE-Measurement;;;;;;;
Solacell Characterisation;Time-resolved photoluminescence;;;;;;;
Solacell Characterisation;UV/VIS-Spectroscopy;;;;;;;
Solacell Characterisation;Photoluminescence Measurement;;;;;;;
Solacell Characterisation;Electroluminescence Measurement;;;;;;;
Solacell Characterisation;Transient optoelectronic measurement;;;;;;;
