Entity,Type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2004/02/skos/core#prefLabel,
http://purl.obolibrary.org/obo/APOLLO_SV_00000032,Class,"'count'",,
http://purl.obolibrary.org/obo/APOLLO_SV_00000033,Class,"'counting'",,
http://purl.obolibrary.org/obo/BFO_0000001,Class,,,
http://purl.obolibrary.org/obo/BFO_0000002,Class,,,
http://purl.obolibrary.org/obo/BFO_0000003,Class,,,
http://purl.obolibrary.org/obo/BFO_0000004,Class,,,
http://purl.obolibrary.org/obo/BFO_0000015,Class,,,
http://purl.obolibrary.org/obo/BFO_0000016,Class,,,
http://purl.obolibrary.org/obo/BFO_0000017,Class,,,
http://purl.obolibrary.org/obo/BFO_0000019,Class,,,
http://purl.obolibrary.org/obo/BFO_0000020,Class,,,
http://purl.obolibrary.org/obo/BFO_0000023,Class,,,
http://purl.obolibrary.org/obo/BFO_0000024,Class,,,
http://purl.obolibrary.org/obo/BFO_0000031,Class,,,
http://purl.obolibrary.org/obo/BFO_0000034,Class,,,
http://purl.obolibrary.org/obo/BFO_0000040,Class,,,
http://purl.obolibrary.org/obo/BFO_0000141,Class,,,
http://purl.obolibrary.org/obo/BFO_0000146,Class,,,
http://purl.obolibrary.org/obo/CHEBI_23367,Class,"'molecular entity'",,
http://purl.obolibrary.org/obo/CHEBI_24431,Class,"'chemical entity'",,
http://purl.obolibrary.org/obo/CHEBI_33250,Class,"'atom'",,
http://purl.obolibrary.org/obo/CHEBI_59999,Class,"'chemical substance'",,
http://purl.obolibrary.org/obo/CHEBI_60003,Class,"'pure substance'",,
http://purl.obolibrary.org/obo/CHEBI_60004,Class,"'mixture'",,
http://purl.obolibrary.org/obo/CHEBI_75958,Class,"'solution'",,
http://purl.obolibrary.org/obo/CHMO_0000067,Class,"'microscopy'",,
http://purl.obolibrary.org/obo/CHMO_0000208,Class,"'reflection method'",,
http://purl.obolibrary.org/obo/CHMO_0000209,Class,"'reflectometry'",,
http://purl.obolibrary.org/obo/CHMO_0000219,Class,"'X-ray reflectometry'",,
http://purl.obolibrary.org/obo/CHMO_0000228,Class,"'spectroscopy'",,
http://purl.obolibrary.org/obo/CHMO_0000793,Class,"'assay output'",,
http://purl.obolibrary.org/obo/CHMO_0000800,Class,"'spectrum'",,
http://purl.obolibrary.org/obo/CHMO_0001301,Class,"'synthesis method'",,
http://purl.obolibrary.org/obo/CHMO_0001310,Class,"'sample deposition'",,
http://purl.obolibrary.org/obo/CHMO_0001311,Class,"'atomic layer deposition'",,
http://purl.obolibrary.org/obo/CHMO_0001312,Class,"'Chemical solution deposition'",,
http://purl.obolibrary.org/obo/CHMO_0001313,Class,"'sol–gel method'",,
http://purl.obolibrary.org/obo/CHMO_0001314,Class,"'chemical vapour deposition'",,
http://purl.obolibrary.org/obo/CHMO_0001324,Class,"'metal–organic chemical vapour deposition'",,
http://purl.obolibrary.org/obo/CHMO_0001325,Class,"'plasma-assisted chemical vapour deposition'",,
http://purl.obolibrary.org/obo/CHMO_0001336,Class,"'epitaxy'",,
http://purl.obolibrary.org/obo/CHMO_0001341,Class,"'molecular beam epitaxy'",,
